DATE,SIPOVGINIBRA
1981-01-01,57.9
1982-01-01,58.4
1983-01-01,58.9
1984-01-01,58.3
1985-01-01,55.5
1986-01-01,58.4
1987-01-01,59.6
1988-01-01,61.4
1989-01-01,63.2
1990-01-01,60.4
1991-01-01,.
1992-01-01,53.1
1993-01-01,60.1
1994-01-01,.
1995-01-01,59.5
1996-01-01,59.8
1997-01-01,59.8
1998-01-01,59.6
1999-01-01,59
2000-01-01,.
2001-01-01,58.4
2002-01-01,58.1
2003-01-01,57.6
2004-01-01,56.5
2005-01-01,56.3
2006-01-01,55.6
2007-01-01,54.9
2008-01-01,54
2009-01-01,53.7
2010-01-01,.
2011-01-01,52.9
2012-01-01,53.4
2013-01-01,52.7
2014-01-01,52.0
2015-01-01,51.9
2016-01-01,53.4
2017-01-01,53.3
2018-01-01,53.9
2019-01-01,53.5
2020-01-01,48.9
2021-01-01,52.9
2022-01-01,52.0
